country,year_week,total_runners,distance,duration
Zimbabwe,2019-52,1,9.696666666666665,59.17777777777778
United Arab Emirates,2019-52,49,12.59286274509804,69.39259259259259
Singapore,2019-52,108,10.734570588235293,65.46519607843138
Slovakia,2019-52,24,12.32139534883721,69.77131782945736
Ireland,2019-52,159,10.505734225621415,52.95312300828553
El Salvador,2019-52,8,11.63596,66.69466666666666
Egypt,2019-52,1,9.309999999999999,54.19333333333333
Afghanistan,2019-52,2,7.654545454545455,43.1469696969697
Andorra,2019-52,1,6.776666666666666,33.23888888888889
Norway,2019-52,357,11.916688510638298,64.75340425531915
Botswana,2019-52,1,7.6274999999999995,39.545833333333334
Ecuador,2019-52,22,9.12151923076923,60.09326923076923
Estonia,2019-52,6,15.199962962962964,94.5851851851852
Japan,2019-52,563,12.264209074187615,70.33437563866748
Barbados,2019-52,2,12.181999999999999,73.06666666666666
Bosnia and Herzegovina,2019-52,2,9.385714285714286,52.72619047619048
Jersey,2019-52,15,9.679037037037038,50.43333333333334
Malaysia,2019-52,49,10.796192592592593,68.27148148148147
Kenya,2019-52,15,12.454162790697675,70.30542635658914
Canada,2019-52,851,11.641474877878576,62.69612119097465
South Sudan,2019-52,1,11.14,82.47777777777777
Germany,2019-52,1509,12.209632037691401,67.58931291715744
Belarus,2019-52,17,11.504285714285714,67.71285714285713
Bahamas,2019-52,1,7.3100000000000005,46.4547619047619
Croatia,2019-52,16,12.67681818181818,75.2939393939394
Cyprus,2019-52,11,12.502477272727274,70.05303030303031
Montenegro,2019-52,2,6.327500000000001,37.141666666666666
Mauritius,2019-52,1,7.21,43.16666666666666
Ghana,2019-52,2,12.536666666666667,67.87222222222222
Mexico,2019-52,240,10.09516691068814,57.34877989263055
San Marino,2019-52,1,10.11,46.333333333333336
Panama,2019-52,29,9.947962025316455,60.139240506329116
Brunei,2019-52,1,4.98,21.53333333333333
France,2019-52,641,11.530385933806146,61.40052206461781
Spain,2019-52,393,11.209495921696575,57.747784121805324
Russia,2019-52,226,11.802042212518195,66.6740902474527
Lithuania,2019-52,10,13.768923076923079,68.50213675213675
Vietnam,2019-52,9,9.506359999999999,58.54333333333333
Finland,2019-52,38,11.579145038167939,64.15610687022901
Austria,2019-52,69,11.840536945812808,68.4927750410509
Saudi Arabia,2019-52,6,9.257692307692308,53.20384615384615
South Korea,2019-52,59,12.17205291005291,66.88544973544974
Anguilla,2019-52,1,2.36,14.816666666666666
Uganda,2019-52,1,14.4,89.41666666666667
Indonesia,2019-52,154,8.952202469135802,62.916790123456785
Czechia,2019-52,40,12.270992366412214,65.48409669211196
Isle of Man,2019-52,12,8.861475,44.42708333333333
Trinidad and Tobago,2019-52,1,16.255,96.1625
Angola,2019-52,3,9.838909090909091,51.23484848484849
Venezuela,2019-52,27,11.522074074074075,74.7059670781893
Thailand,2020-1,223,12.87095009596929,86.55358285348687
Brunei,2020-1,1,7.46,33.791666666666664
Ireland,2020-1,166,11.805839207048457,59.88913362701909
Iceland,2020-1,49,10.492617647058823,61.851960784313725
Kenya,2020-1,13,14.6848,82.86857142857143
Norway,2020-1,364,12.076237762237762,65.7011988011988
Panama,2020-1,25,9.902370967741936,59.88951612903226
Botswana,2020-1,1,7.16,35.13333333333333
Australia,2020-1,434,11.980438322368421,64.61415844298246
United States,2020-1,9905,11.817946880329734,64.0228467879477
Iran,2020-1,1,8.11,44.28333333333333
Paraguay,2020-1,5,7.006846153846154,39.32692307692308
Montenegro,2020-1,1,5.04,25.416666666666668
Kosovo,2020-1,1,8.883333333333333,45.38333333333333
India,2020-1,95,14.404087866108787,87.39783821478382
Bulgaria,2020-1,4,6.55,38.125
Trinidad and Tobago,2020-1,1,16.04,87.63333333333334
Austria,2020-1,58,12.830944827586208,71.53735632183907
Indonesia,2020-1,159,9.940581120943953,67.54960668633235
Brazil,2020-1,427,10.890090909090908,61.10290096082779
Colombia,2020-1,93,10.942655339805825,62.38260517799353
Taiwan,2020-1,228,14.057044657097288,81.63774587985115
South Sudan,2020-1,1,20.01,145.0
San Marino,2020-1,1,13.94,65.71111111111112
France,2020-1,646,12.023918842625264,64.4419077864032
Angola,2020-1,2,10.6,56.161111111111104
Lithuania,2020-1,14,11.872534883720931,59.71705426356589
South Korea,2020-1,59,13.079644295302014,81.53691275167785
Czechia,2020-1,37,13.44766355140187,74.10218068535825
Finland,2020-1,33,12.169244680851065,65.49290780141844
Saudi Arabia,2020-1,5,10.366363636363637,58.03333333333333
Vietnam,2020-1,10,10.073590909090909,65.52121212121212
Andorra,2020-1,1,15.765,71.16666666666667
Denmark,2020-1,215,12.200046511627907,62.455555555555556
Fiji,2020-1,1,8.655000000000001,54.55
South Africa,2020-1,112,10.688552901023892,63.718316268486916
Cyprus,2020-1,14,13.213131578947369,74.29166666666667
Senegal,2020-1,1,12.915,60.03333333333333
Malta,2020-1,2,11.522,68.18666666666667
Faroe Islands,2020-1,5,12.101,69.13666666666667
Dominican Republic,2020-1,30,10.456271186440677,64.47683615819209
Slovenia,2020-1,22,12.406462962962962,75.77716049382717
Serbia,2020-1,16,12.757959183673469,65.90680272108844
Zimbabwe,2020-1,1,8.0,39.91666666666666
Estonia,2020-1,7,12.951818181818181,73.00227272727273
Ecuador,2020-1,20,9.709108108108108,61.03873873873874
Afghanistan,2020-1,3,9.655714285714286,58.52619047619048
El Salvador,2020-1,7,11.330666666666668,64.23222222222222
Malaysia,2020-1,59,10.501440559440558,68.18065268065268
Slovakia,2020-1,18,11.219268292682926,64.25650406504066
Singapore,2020-1,110,11.442243055555556,68.16388888888889
Egypt,2020-1,1,11.039666666666667,62.199999999999996
Luxembourg,2020-1,23,10.887326530612246,63.548299319727896
Canada,2020-1,853,12.323476857749469,66.89530077848549
Germany,2020-1,1471,12.29623328335832,68.76151424287856
Croatia,2020-1,18,13.0835,86.63823529411764
Uruguay,2020-1,4,8.884,43.60666666666667
Peru,2020-1,39,11.454886363636364,64.4403409090909
Hungary,2020-1,37,12.7194,70.5895
Monaco,2020-1,2,8.455,43.30833333333333
